YYYYMMDD,Sample,Year,Month,Day,Bakun_Index_ 51N_131W,Bakun_Index_ 48N_125W
19681117,687,1968,11,17,-371,-480
19681118,688,1968,11,18,-457,-192
19681119,689,1968,11,19,-210,-365
19681120,690,1968,11,20,-311,-135
19681121,691,1968,11,21,-179,-295
19681122,692,1968,11,22,-17,-46
19681123,693,1968,11,23,-102,-143
19681124,694,1968,11,24,59,23
19681125,695,1968,11,25,-167,-56
19681126,696,1968,11,26,-21,-217
19681127,697,1968,11,27,-114,-12
19681128,698,1968,11,28,-513,-286
19681129,699,1968,11,29,-155,1
19681130,700,1968,11,30,37,-162
19681201,701,1968,12,01,49,34
19681202,702,1968,12,02,25,-117
19681203,703,1968,12,03,47,55
19681204,704,1968,12,04,-73,-39
19681205,705,1968,12,05,12,-11
19681206,706,1968,12,06,-167,-239
19681207,707,1968,12,07,21,-54
19681208,708,1968,12,08,-208,-294
19681209,709,1968,12,09,-62,-213
19681210,710,1968,12,10,-15,3
19681211,711,1968,12,11,13,50
19681212,712,1968,12,12,-255,-196
19681213,713,1968,12,13,-321,-813
19681214,714,1968,12,14,-137,-390
19681215,715,1968,12,15,12,-44
19681216,716,1968,12,16,-11,7
19681217,717,1968,12,17,79,-48
19681218,718,1968,12,18,126,119
19681219,719,1968,12,19,15,15
19681220,720,1968,12,20,1,-5
19681221,721,1968,12,21,-15,-78
19681222,722,1968,12,22,-87,-373
19681223,723,1968,12,23,-161,-373
19681224,724,1968,12,24,-29,-50
19681225,725,1968,12,25,41,23
19681226,726,1968,12,26,45,46
19681227,727,1968,12,27,-30,10
19681228,728,1968,12,28,-70,-44
19681229,729,1968,12,29,-154,-273
19681230,730,1968,12,30,-422,-934
19681231,731,1968,12,31,-125,-671
19690101,732,1969,01,01,-20,-140
19690102,733,1969,01,02,-512,-216
19690103,734,1969,01,03,-230,-307
19690104,735,1969,01,04,10,-60
19690105,736,1969,01,05,-29,-2
19690106,737,1969,01,06,37,13
19690107,738,1969,01,07,127,147
19690108,739,1969,01,08,5,-26
19690109,740,1969,01,09,10,-45
19690110,741,1969,01,10,-3,-112
19690111,742,1969,01,11,-1,-14
19690112,743,1969,01,12,-70,-94
19690113,744,1969,01,13,-31,-75
19690114,745,1969,01,14,0,-109
19690115,746,1969,01,15,4,-3
19690116,747,1969,01,16,67,-6
19690117,748,1969,01,17,-4,17
19690118,749,1969,01,18,-23,-48
19690119,750,1969,01,19,41,-6
19690120,751,1969,01,20,-8,-4
19690121,752,1969,01,21,-46,-41
19690122,753,1969,01,22,-4,-43
19690123,754,1969,01,23,-15,-99
19690124,755,1969,01,24,-113,-220
19690125,756,1969,01,25,-31,-113
